;detector;XCoords;YCoords;shift
14451;19;1.1212121212121176;-4.55555555555555;-5.7150868863162145
14452;19;1.9686868686868664;-4.55555555555555;-5.978020074467935
14453;19;2.816161616161615;-4.55555555555555;-6.243343921015798
14454;19;3.663636363636364;-4.55555555555555;-6.510838971884631
14455;19;4.511111111111113;-4.55555555555555;-6.780273494230231
14456;19;5.358585858585862;-4.55555555555555;-7.051403109093786
14457;19;6.206060606060603;-4.55555555555555;-7.323766182174885
14458;19;7.053535353535352;-4.55555555555555;-7.5976364214423295
14459;19;7.901010101010101;-4.55555555555555;-7.872178106557958
14460;19;8.74848484848485;-4.55555555555555;-8.147296912874957
14461;19;9.595959595959599;-4.55555555555555;-8.422680834934466
14462;19;10.44343434343434;-4.55555555555555;-8.698004747541878
14463;19;11.29090909090909;-4.55555555555555;-8.972930774405635
14464;19;12.138383838383838;-4.55555555555555;-9.246876439691471
14465;19;12.985858585858587;-4.55555555555555;-9.520099327381576
14466;19;13.833333333333336;-4.55555555555555;-9.791599678040491
14467;19;14.680808080808077;-4.55555555555555;-10.061225439988162
14468;19;15.528282828282826;-4.55555555555555;-10.32858300305429
14469;19;16.375757575757575;-4.55555555555555;-10.593270664888221
14470;19;17.223232323232324;-4.55555555555555;-10.854879855440325
14471;19;18.070707070707073;-4.55555555555555;-11.112538492701088
14472;19;18.918181818181814;-4.55555555555555;-11.367052400058055
14473;19;19.765656565656563;-4.55555555555555;-11.616768026968243
14474;19;20.613131313131312;-4.55555555555555;-11.861718096046149
14475;19;21.46060606060606;-4.55555555555555;-12.101477573852138
14476;19;22.30808080808081;-4.55555555555555;-12.335623231851505
14477;19;23.15555555555556;-4.55555555555555;-12.563735259787586
14478;19;24.003030303030307;-4.55555555555555;-12.784887932681333
14479;19;24.850505050505056;-4.55555555555555;-13.000039675775088
14480;19;25.69797979797979;-4.55555555555555;-13.20741626876818
14481;19;26.54545454545454;-4.55555555555555;-13.407135135264026
14482;19;27.39292929292929;-4.55555555555555;-13.598813834215568
14483;19;28.240404040404037;-4.55555555555555;-13.782082449362901
14484;19;29.087878787878786;-4.55555555555555;-13.956584967174148
14485;19;29.935353535353535;-4.55555555555555;-14.121305357906492
14486;19;30.782828282828284;-4.55555555555555;-14.277726610353996
14487;19;31.630303030303033;-4.55555555555555;-14.423727244935646
14488;19;32.47777777777778;-4.55555555555555;-14.559690057307213
14489;19;33.32525252525253;-4.55555555555555;-14.685342129001121
14490;19;34.17272727272728;-4.55555555555555;-14.800430947324871
14491;19;35.020202020202014;-4.55555555555555;-14.904725214637208
14492;19;35.86767676767676;-4.55555555555555;-14.997382824496935
14493;19;36.71515151515151;-4.55555555555555;-15.079911308630013
14494;19;37.56262626262626;-4.55555555555555;-15.150447198664832
14495;19;38.41010101010101;-4.55555555555555;-15.209479351596535
14496;19;39.25757575757576;-4.55555555555555;-15.256887866872757
14497;19;40.10505050505051;-4.55555555555555;-15.292577181109547
14498;19;40.952525252525255;-4.55555555555555;-15.316476343591123
14499;19;41.8;-4.55555555555555;-15.327899400251521
14500;19;-42.1;-3.7090909090909037;2.05847383401218
14501;19;-41.25252525252525;-3.7090909090909037;2.051692761143351
14502;19;-40.405050505050504;-3.7090909090909037;2.0403736235069854
14503;19;-39.55757575757576;-3.7090909090909037;2.0222709078354795
14504;19;-38.71010101010101;-3.7090909090909037;1.998219002560833
14505;19;-37.862626262626264;-3.7090909090909037;1.9682164622941458
